GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.mapper,ClienteMapperImpl,0,37,0,2,0,11,0,3,0,2
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.mapper,ClienteMapper,0,5,0,0,0,1,0,1,0,1
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.cliente,ClienteDestino,0,45,0,0,0,8,0,13,0,13
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.cliente,ClienteOrigem,0,21,0,0,0,7,0,7,0,7
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes,Operacoes,0,10,0,0,0,2,0,2,0,2
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.calculos,Media,0,18,0,0,0,5,0,2,0,2
ExerciciosTestesUnitarios,br.com.ibm.treinamento.testes.calculos,Fatorial,0,28,0,2,0,7,0,3,0,2
